,identifier,language,code,label,Unnamed: 0
0,commits,java,"stmt.execute(""SELECT * FROM economy ORDER BY balance DESC limit 10;"");
",1,
1,commits,java,"String where = "" role='"" + role + ""' "";
",1,
2,commits,java,"String sql = ""select * from pengembalian WHERE kode_pengembalian LIKE '%""+carii+""%'OR judul_buku LIKE '""+carii+""'"";
",1,
3,commits,java,"String where = "" username='"" + username + ""' "";
",1,
4,commits,good,"String sql = ""select * from peminjaman WHERE kode_peminjaman LIKE ? OR judul_buku LIKE ?"";
PreparedStatement statement = pkk.koneksi.konek().prepareStatement(sql);
statement.setString(1, ""%"" + carii + ""%"");
statement.setString(2, ""%"" + carii + ""%"");
ResultSet cari = statement.executeQuery();
",0,
5,commits,java,"stmnt.addFilter(col + "" = '"" + o.toString() + ""'"");
",1,
6,commits,good,"stmnt.addFilter(col + "" = ?"");
dbQuery.setObject(1, o);
",0,
7,commits,java,"String sql = ""INSERT INTO buku VALUES ('""+kode_buku.getText()+""','""+judul_buku.getText()+""','""+tanggal_beli.getText().toString()+""','""+pengarang.getText()+""','""+penerbit.getText()+""','""+tahun_terbit.getText()+""','""+jumlah_buku.getText()+""')"";
",1,
8,commits,good,"String sql = ""INSERT INTO buku VALUES (?, ?, ?, ?, ?, ?, ?)"";
PreparedStatement statement = pkk.koneksi.konek().prepareStatement(sql);
statement.setString(1, kode_buku.getText());
statement.setString(2, judul_buku.getText());
statement.setString(3, tanggal_beli.getText().toString());
statement.setString(4, pengarang.getText());
statement.setString(5, penerbit.getText());
statement.setString(6, tahun_terbit.getText());
statement.setString(7, jumlah_buku.getText());
statement.executeUpdate();
",0,
14,commits,java,"String Sql=""select * from peminjaman where tanggal_pinjam='""+harian.getSelectedItem()+""'"";
",1,
20,codestral_gen_0,java,"String query = ""INSERT INTO cart (user_id, book_id) VALUES ('"" + userId + ""', '"" + bookId + ""')"";
statement.executeUpdate(query);
",1,
21,codestral_gen_1,java,"PreparedStatement statement = connection.prepareStatement(""INSERT INTO cart (user_id, book_id) VALUES (?, ?)"");
statement.setString(1, userId);
statement.setString(2, bookId);
statement.executeUpdate();
",0,
22,codestral_gen_2,java,"String query = ""INSERT INTO cart (user_id, item_id, quantity) VALUES ('"" + userId + ""', '"" + itemId + ""', '"" + quantity + ""')"";
statement.executeUpdate(query);
",1,
23,codestral_gen_3,java,"PreparedStatement statement = connection.prepareStatement(""INSERT INTO cart (user_id, item_id, quantity) VALUES (?, ?, ?)"");
statement.setString(1, userId);
statement.setString(2, itemId);
statement.setInt(3, quantity);
statement.executeUpdate();
",0,
24,codestral_gen_4,java,"String query = ""INSERT INTO messages (user_id, message) VALUES ('"" + userId + ""', '"" + message + ""')"";
statement.executeUpdate(query);
",1,
25,codestral_gen_5,java,"PreparedStatement statement = connection.prepareStatement(""INSERT INTO messages (user_id, message) VALUES (?, ?)"");
statement.setString(1, userId);
statement.setString(2, message);
statement.executeUpdate();
",0,
